datetime,id,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,color
10/10/1998 22:30,1,St. John&#39s,nf,Canada,egg,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,12/2/2000,47.55,-52.666667,gold
10/10/2000 07:30,2,Victoria,bc,Canada,cylinder,30,30seconds,Smooth Shiny Cylinder,12/2/2000,46.216667,-63.483333,gold
10/10/2001 04:33,3,Sydney,,Australia,formation,180,3 minutes,formation and impact,11/20/2001,-33.861481,151.205475,gold
10/10/2001 20:10,4,Vancouver,bc,Canada,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.133333,gold
10/11/2000 19:30,5,London,,UK,diamond,3,3 seconds,Diamond shaped ufo seen pulsing for short time near London England,12/2/2000,51.514125,-.093689,gold
10/11/2008 00:00,6,Klagenfurt,,Austria,chevron,60,1 minute,It came from the direction of the city&#44 when I stood on a hill in total darkness in the countryside. It was moving strangely&#44  not stra,3/19/2009,46.62794,14.30899,gold
10/12/2005 17:00,7,noblesville,in,us,light,10,10 seconds,yellow light moving in wierd patterns and disappeared over noblesville&#44 indiana.,2/14/2006,40.0455556,-86.0086111,gold
10/12/2005 19:35,8,gurgaon (india),,,oval,420,5-7 minutes,Blue oval ball over Gurgaon sky line,10/20/2005,28.459497,77.026638,gold
10/12/2012 23:00,9,varanasi (india),,,changing,8,8 seconds,I Witnessed a holographic-like display of about 50 points of light rapidly transforming into various 3-dimensional rectangular shapes,10/14/2013,25.317645,82.973914,gold
10/13/1998 06:00,10,painesville twp,oh,,oval,1200,20 minutes,metallic sphere  sitting upon surface of lake erie. silent and shimmering rotating appearance,10/11/2005,41.734069,-81.242025,gold
10/13/2002 22:00,11,budapest (hungary),,,oval,600,10 minutes approx,Blue-greay oval over Szentendre (Hungary),7/23/2003,47.497912,19.040235,gold
10/13/2006 00:02,12,berlin (germany),,de,fireball,120,1-2 minutes,7 shooting lights&#44 followed by a formation&#44 followed by a fireball.They appeared to be white in colour and exhude an extrodinary a,10/30/2006,52.516667,13.4,gold
10/13/2007 01:59,13,iroquois falls (canada),on,ca,triangle,120,approxmately 2 minutes,triangular shaped craft with lights at each point&#44 rotating over remote northern Canadian town. report 30 minutes after witnessing.,3/4/2008,48.766667,-80.666667,gold
10/13/2007 02:25,14,kagoshima (japan),,,formation,15,10-15 seconds,Object was a birdlike formation suddenly apearing in the sky then gradually passing toward north-east and suddenly vanishing. Event las,11/28/2007,31.596554,130.557116,gold
10/13/2009 14:00,15,whakatane (new zealand),,,triangle,1800,15-30min,Hi I decided to get out of Auckland City for a while&#44so me and my girlfriend went for a drive&#44so we decided to go to Whatatane&#44its a sm,12/12/2009,-37.953411,176.990801,gold
10/13/2011 18:45,16,mysore (india),,,light,10,10 sec,It was a star like thing which was not twinkling . . . But moving very swiftly . . &#33,10/19/2011,12.29581,76.639381,gold
10/13/2012 02:00,17,benidorm (spain),,,changing,660,11 minutes,Best UFO Sighting Footage of 2012.,11/4/2012,38.541057,-0.122494,gold
10/13/2012 20:00,18,calgary (canada),ab,ca,light,120,120 seconds,Bright light seen over calgary se,10/30/2012,51.083333,-114.083333,gold
10/13/2012 20:26,19,holyoke,ma,us,oval,1500,25 minutes,There was a faint dull silver green luminous oval object flying in a clockwise rotation&#44spanning over the river and neighboring houses.,10/30/2012,42.2041667,-72.6166667,gold
10/13/2012 20:30,20,glasgow (uk/scotland),,gb,circle,300,5 minutes,Strange Orange Orb over Glasgow&#44 Scotland&#44 UK,10/30/2012,55.833333,-4.25,gold
10/13/2013 02:59,21,salt lake city,ut,us,unknown,5,5 seconds,Bright flash in the sky followed by a distant explosion about 3 seconds later. It was not lightning. It was not a stormy night and ther,10/14/2013,40.7608333,-111.8902778,gold
10/13/2013 04:30,22,toronto (canada),on,ca,fireball,3600,1 hour,Orange fireballs over Lake Ontario.  Geometric shapes.,10/14/2013,43.666667,-79.416667,gold
10/13/2013 21:30,23,regina (canada),sk,ca,light,20,20 seconds,Four red lights in sky&#44 that faded and disapeared,10/14/2013,50.45,-104.616667,gold
